Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
77,0,Terminal Stance,100.0%,-2.44 (Inaccurate ),7.47 (Inaccurate ),18.64 (Inaccurate ),2.41 (Inaccurate ),0.0 % ,Should Improve
78,0,Terminal Stance,100.0%,-3.0 (Inaccurate ),6.81 (Inaccurate ),20.0 (Inaccurate ),0.8 (Inaccurate ),0.0 % ,Should Improve
79,0,Terminal Stance,100.0%,-3.2 (Inaccurate ),6.85 (Inaccurate ),19.64 (Inaccurate ),0.04 (Inaccurate ),0.0 % ,Should Improve
80,0,Terminal Stance,100.0%,-2.91 (Inaccurate ),6.61 (Inaccurate ),19.61 (Inaccurate ),0.27 (Inaccurate ),0.0 % ,Should Improve
81,0,Terminal Stance,100.0%,-2.66 (Inaccurate ),6.86 (Inaccurate ),18.21 (Inaccurate ),0.13 (Inaccurate ),0.0 % ,Should Improve
82,0,Terminal Stance,100.0%,-2.48 (Inaccurate ),6.05 (Inaccurate ),18.28 (Inaccurate ),0.37 (Inaccurate ),0.0 % ,Should Improve
83,0,Terminal Stance,100.0%,-2.45 (Inaccurate ),5.82 (Inaccurate ),18.28 (Inaccurate ),0.55 (Inaccurate ),0.0 % ,Should Improve
84,0,Terminal Stance,100.0%,-2.06 (Inaccurate ),6.72 (Inaccurate ),17.31 (Inaccurate ),0.22 (Inaccurate ),0.0 % ,Should Improve
85,0,Terminal Stance,100.0%,-1.77 (Inaccurate ),6.76 (Inaccurate ),16.88 (Inaccurate ),0.16 (Inaccurate ),0.0 % ,Should Improve
86,0,Terminal Stance,100.0%,-1.13 (Inaccurate ),8.19 (Inaccurate ),17.33 (Inaccurate ),1.07 (Inaccurate ),0.0 % ,Should Improve
87,0,Terminal Stance,100.0%,-0.59 (Inaccurate ),9.16 (Inaccurate ),17.02 (Inaccurate ),2.1 (Inaccurate ),0.0 % ,Should Improve
88,0,Terminal Stance,100.0%,-0.44 (Inaccurate ),9.39 (Inaccurate ),16.77 (Inaccurate ),2.5 (Inaccurate ),0.0 % ,Should Improve
89,0,Terminal Stance,100.0%,-0.09 (Inaccurate ),10.09 (Inaccurate ),15.37 (Inaccurate ),2.85 (Inaccurate ),0.0 % ,Should Improve
90,0,Terminal Stance,100.0%,0.19 (Inaccurate ),10.75 (Inaccurate ),17.16 (Inaccurate ),3.13 (Inaccurate ),0.0 % ,Should Improve
91,0,Terminal Stance,100.0%,0.53 (Inaccurate ),11.08 (Inaccurate ),20.41 (Inaccurate ),2.95 (Inaccurate ),0.0 % ,Should Improve
92,0,Terminal Stance,100.0%,0.89 (Inaccurate ),10.94 (Inaccurate ),23.57 (Inaccurate ),3.0 (Inaccurate ),0.0 % ,Should Improve
93,0,Terminal Stance,100.0%,1.16 (Inaccurate ),10.73 (Inaccurate ),25.79 (Inaccurate ),2.84 (Inaccurate ),0.0 % ,Should Improve
94,0,Terminal Stance,100.0%,1.13 (Inaccurate ),11.04 (Inaccurate ),26.79 (Inaccurate ),2.79 (Inaccurate ),0.0 % ,Should Improve
95,0,Terminal Stance,100.0%,0.98 (Inaccurate ),10.24 (Inaccurate ),28.15 (Inaccurate ),1.71 (Inaccurate ),0.0 % ,Should Improve
96,0,Terminal Stance,100.0%,1.14 (Inaccurate ),9.46 (Inaccurate ),31.39 (Inaccurate ),1.08 (Inaccurate ),0.0 % ,Should Improve
97,0,Terminal Stance,100.0%,1.23 (Inaccurate ),9.67 (Inaccurate ),29.21 (Inaccurate ),0.23 (Inaccurate ),0.0 % ,Should Improve
98,0,Terminal Stance,100.0%,1.16 (Inaccurate ),10.59 (Inaccurate ),24.76 (Inaccurate ),0.11 (Inaccurate ),0.0 % ,Should Improve
99,0,Terminal Stance,100.0%,1.5 (Inaccurate ),10.03 (Inaccurate ),19.39 (Inaccurate ),0.73 (Inaccurate ),0.0 % ,Should Improve
100,0,Terminal Stance,100.0%,1.32 (Inaccurate ),9.73 (Inaccurate ),20.37 (Inaccurate ),1.23 (Inaccurate ),0.0 % ,Should Improve
101,0,Terminal Stance,100.0%,1.38 (Inaccurate ),9.15 (Inaccurate ),21.16 (Inaccurate ),1.76 (Inaccurate ),0.0 % ,Should Improve
102,0,Terminal Stance,100.0%,1.57 (Inaccurate ),8.5 (Inaccurate ),21.6 (Inaccurate ),2.38 (Inaccurate ),0.0 % ,Should Improve
103,0,Terminal Stance,100.0%,1.9 (Inaccurate ),8.91 (Inaccurate ),23.39 (Inaccurate ),2.04 (Inaccurate ),0.0 % ,Should Improve
104,0,Terminal Stance,100.0%,2.18 (Inaccurate ),7.34 (Inaccurate ),25.34 (Inaccurate ),3.22 (Inaccurate ),0.0 % ,Should Improve
105,0,Terminal Stance,100.0%,2.72 (Inaccurate ),6.84 (Inaccurate ),26.92 (Inaccurate ),3.16 (Inaccurate ),0.0 % ,Should Improve
106,0,Terminal Stance,100.0%,3.28 (Inaccurate ),7.03 (Inaccurate ),27.65 (Inaccurate ),2.43 (Inaccurate ),0.0 % ,Should Improve
107,0,Terminal Stance,100.0%,3.5 (Inaccurate ),6.44 (Inaccurate ),28.23 (Inaccurate ),2.76 (Inaccurate ),0.0 % ,Should Improve
108,0,Terminal Stance,100.0%,3.91 (Inaccurate ),5.83 (Inaccurate ),27.58 (Inaccurate ),2.98 (Inaccurate ),0.0 % ,Should Improve
109,0,Terminal Stance,100.0%,4.57 (Accurate ),4.59 (Inaccurate ),28.01 (Inaccurate ),3.46 (Inaccurate ),25.0 % ,Should Improve
